Marque,Modèle,Prix (€),Année,Boîte,KM,Énergie,Code Postal,Département
Mercedes-Benz,Mercedes G65 AMG V12  630 *BRABUS* *WIDESTAR*,,01/2013,"Couleur extérieure: Bleu, Nombre de portes: 4/5",463 kW (630 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Land,Rover Range Rover P510e Autobiography SWB*Sunroof*360°,,07/2023,"Couleur extérieure: Gris, Nombre de portes: 4/5",294 kW (400 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Porsche,Carrera 4S *RS Spyder wheels/Lift*,,07/2019,"Couleur extérieure: Noir, Nombre de portes: 2/3",331 kW (450 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Land,Rover Range Rover 3.0 P440e Autobiography Lang,,07/2023,"Couleur extérieure: Gris, Nombre de portes: 4/5",324 kW (441 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Land,Rover Range Rover 3.0 P440e Autobiography Lang,,07/2023,"Couleur extérieure: Gris, Nombre de portes: 4/5",324 kW (441 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Mercedes-Benz,G 63 AMG *Tougher than Time Edition*,,12/2019,"Couleur extérieure: Noir, Nombre de portes: 4/5",430 kW (585 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Aston,Martin V8 Vantage *Audio Premium *Camera,,08/2019,"Couleur extérieure: Noir, Nombre de portes: 2/3",375 kW (510 Ch DIN),"Coupé Sport, Essence",,
McLaren,570GT - Lift - Full Carbon - B&W - Memory Seats,,03/2017,"Couleur extérieure: Noir, Nombre de portes: 2/3",419 kW (570 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,911 Carrera 4 S Cabriolet,,05/2019,"Couleur extérieure: Gris, Nombre de portes: 2/3",331 kW (450 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Land,Rover Defender 110 Carpathian*1st Hand*Hitch,,11/2021,"Couleur extérieure: Gris, Nombre de portes: 4/5",386 kW (525 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Aston,Martin Vanquish S .,,01/2008,"Couleur extérieure: Noir, Nombre de portes: 2/3",389 kW (529 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Porsche,991 Carrera GTS Cabriolet PDK - low mileage,,05/2015,"Couleur extérieure: Brun, Nombre de portes: 2/3",316 kW (430 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Mercedes-Benz,AMG GT R 4.0 V8 - Track Pack - Burmester - Lift,,08/2018,"Couleur extérieure: Vert, Nombre de portes: 2/3",430 kW (585 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,Cayenne Coupe S E-Hybrid*BOSE*HUD*360*Matrix LED,,06/2024,"Couleur extérieure: Noir, Nombre de portes: 4/5",260 kW (354 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Land,Rover Range Rover V SWB P530 AWD Autobiography,,08/2022,"Couleur extérieure: Noir, Nombre de portes: 4/5",390 kW (530 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Porsche,Carrera 4S Cabriolet*BOSE*360° Camera*Carbon,,07/2019,"Couleur extérieure: Noir, Nombre de portes: 2/3",331 kW (450 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Land,Rover Range Rover 3.0 P460e HSE,,06/2024,"Couleur extérieure: Gris, Nombre de portes: 4/5",338 kW (460 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Porsche,991 3.8  Carrera S Coupé 50 Jahre 911-X51 430 PS,,03/2014,"Couleur extérieure: Beige, Nombre de portes: 2/3",316 kW (430 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,599 GTB GTB Fiorano F1,,09/2007,"Couleur extérieure: Noir, Nombre de portes: 2/3",456 kW (620 Ch DIN),"Coupé Sport, Essence, Boîte semi-automatique",,
Ferrari,FF 6.3 V12,,06/2012,"Couleur extérieure: Noir, Nombre de portes: 2/3",485 kW (659 Ch DIN),"Berline, Essence, Boîte automatique",,
Aston,Martin DBS Volante - Marron Black - B&O - Piano Black,,10/2012,"Couleur extérieure: Brun, Nombre de portes: 2/3",380 kW (517 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,Cayenne Coupe Turbo S E-Hybrid,,10/2022,"Couleur extérieure: Bleu, Nombre de portes: 4/5",404 kW (549 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Morgan,Plus 8 50 Th Anniversary Manual 35/50,,08/2018,"Couleur extérieure: Vert, Nombre de portes: 2/3",270 kW (367 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Ferrari,F355 GTS,,02/1995,"Couleur extérieure: Jaune, Nombre de portes: 2/3",280 kW (381 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Porsche,911-992 CARRERA 4S CABRIOLET 3.0 450CH PDK,,05/2020,"Couleur extérieure: Vert, Nombre de portes: 2/3",331 kW (450 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Land,"Rover P460e PHEV SWB Autobiography *French, first hand",,09/2024,"Couleur extérieure: Noir, Nombre de portes: 4/5",338 kW (460 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Aston,Martin DB11 COUPE 5.2l V12 609ch*First hand*Carbon,,12/2016,"Couleur extérieure: Vert, Nombre de portes: 2/3",448 kW (609 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,MACAN TURBO - DISPONIBLE DE SUITE,,09/2024,"Couleur extérieure: Gris, Nombre de portes: 4/5",470 kW (639 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Electrique, Boîte automatique",,
Porsche,911 Urmodell,,08/1989,"Couleur extérieure: Noir, Nombre de portes: 2/3",170 kW (231 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Autres,Ariel Atom V8,,06/2012,Couleur extérieure: Or,349 kW (475 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,2.7 RS REPLIQUE,,01/1973,Couleur extérieure: Blanc,,"Coupé Sport, Essence",,
Mercedes-Benz,AMG GT R 4.0 V8 R DCT,,07/2019,"Couleur extérieure: Rouge, Nombre de portes: 2/3",430 kW (585 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Mercedes-Benz,G 63 AMG - Carbon - Burmester - Sunroof,,07/2019,"Couleur extérieure: Noir, Nombre de portes: 4/5",430 kW (585 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Porsche,911 991.2 Turbo S Convertible *Triple Black*,,08/2016,"Couleur extérieure: Noir, Nombre de portes: 2/3",427 kW (581 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
BMW,M5 Baureihe,,11/2024,Nombre de portes: 4/5,535 kW (727 Ch DIN),"Berline, Hybride (essence/électricité)",,
Porsche,997 GT3 RS - Clubsport - PCCB - Chrono - History,,11/2007,"Couleur extérieure: Blanc, Nombre de portes: 2/3",305 kW (415 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Porsche,Panamera Turbo S E-Hybrid 700*Pano*Burmester*360,,04/2022,"Couleur extérieure: Gris, Nombre de portes: 4/5",420 kW (571 Ch DIN),"Berline, Hybride (essence/électricité), Boîte automatique",,
Aston,Martin DB11 V8 Volante - 2nd Hand - Celestial - 18500km,,10/2018,"Couleur extérieure: Gris, Nombre de portes: 2/3",375 kW (510 Ch DIN),"Cabriolet / Roadster, Autre, Boîte automatique",,
Porsche,911 Targa 4 GTS,,06/2017,"Couleur extérieure: Bleu, Nombre de portes: 2/3",331 kW (450 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Mercedes-Benz,AMG GT R 4.0 V8 R DCT,,07/2017,"Couleur extérieure: Gris, Nombre de portes: 2/3",430 kW (585 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,930,,07/1989,"Couleur extérieure: Noir, Nombre de portes: 2/3",221 kW (300 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Mercedes-Benz,SLS AMG ROADSTER .,,03/2013,"Couleur extérieure: Gris, Nombre de portes: 2/3",420 kW (571 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,964 Targa Carrera 4*2nd hand*Matching Numbers,,04/1990,"Couleur extérieure: Bleu, Nombre de portes: 2/3",184 kW (250 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Nissan,NISSAN GT-R NISMO * Origine France,,08/2015,"Couleur extérieure: Noir, Nombre de portes: 2/3",441 kW (600 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Bentley,Continental GT 6.0 W12 - Full Seats -Chrome Pack,,07/2018,"Couleur extérieure: Bleu, Nombre de portes: 2/3",467 kW (635 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Aston,Martin DBX 4.0 V8*Sport Exhaust,,11/2020,"Couleur extérieure: Noir, Nombre de portes: 4/5",371 kW (504 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Porsche,"991 Targa 4S PDK - only 1 350 kms, serviced",,06/2014,"Couleur extérieure: Gris, Nombre de portes: 2/3",294 kW (400 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,992 4 GTS 3.0 480 *  Pack Sport Design,,04/2022,"Couleur extérieure: Noir, Nombre de portes: 2/3",353 kW (480 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Mercedes-Benz,G 63 AMG*Burmester*360*Multibeam*Sunroof,,10/2018,"Couleur extérieure: Vert, Nombre de portes: 4/5",430 kW (585 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Ferrari,599 GTB HGTE - Full Carbon - Shields - Buckets,,01/2010,"Couleur extérieure: Noir, Nombre de portes: 2/3",456 kW (620 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,991 GT3 Touring,,03/2018,"Couleur extérieure: Bleu, Nombre de portes: 2/3",368 kW (500 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Mercedes-Benz,AMG GT-R 4.0 - Track Pack - Green Hell - Carbon,,06/2019,"Couleur extérieure: Vert, Nombre de portes: 2/3",430 kW (585 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,992 Targa 4S,,01/2022,"Couleur extérieure: Noir, Nombre de portes: 2/3",331 kW (450 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Jaguar,F-Type F-TYPE Cabriolet R75 AWD 5.0 V8 575CH,,12/2023,"Couleur extérieure: Noir, Nombre de portes: 2/3",405 kW (551 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Bentley,Azure -,,07/2007,"Couleur extérieure: Bleu, Nombre de portes: 2/3",336 kW (457 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Land,Rover Land-Rover Range Rover P530 Autobiography SWB,,06/2023,"Couleur extérieure: Argenté, Nombre de portes: 4/5",390 kW (530 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Audi,R8 Spyder Quattro Performance*Facelift*B&O,,07/2020,"Couleur extérieure: Gris, Nombre de portes: 2/3",456 kW (620 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
McLaren,GT - Lift - MSO - B&W - CCB - Sport Exhaust,,02/2020,Couleur extérieure: Bleu,456 kW (620 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
McLaren,570S Spider - Lift - MSO - Carbon -Special Paint,,12/2018,"Couleur extérieure: Blanc, Nombre de portes: 2/3",419 kW (570 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Dodge,Viper GTS 8.4 V10 - Harman Kardon - Caméra,,01/2014,"Couleur extérieure: Noir, Nombre de portes: 2/3",,"Coupé Sport, Essence, Boîte manuelle",,
Jaguar,F-Type P575 AWD 75R 5.0 V8 575CH CONVERTIBLE,,12/2023,"Couleur extérieure: Vert, Nombre de portes: 2/3",423 kW (575 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Audi,R8 Coupe 5.2 FSI RWD performance,,03/2023,"Couleur extérieure: Noir, Nombre de portes: 2/3",419 kW (570 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,964 Carrera RS - Restauration complète,,12/1991,"Couleur extérieure: Noir, Nombre de portes: 2/3",,"Coupé Sport, Essence, Boîte manuelle",,
Ferrari,488 GTB GTB Coupé DCT,,01/2018,Nombre de portes: 2/3,492 kW (669 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Bentley,Continental GT III W12 6.0 635 CH BVA .,,03/2019,"Couleur extérieure: Bleu, Nombre de portes: 2/3",467 kW (635 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,991 GT3 RS - Lift - Clubsport - Carbon - PDLS+,,02/2016,"Couleur extérieure: Prune, Nombre de portes: 2/3",368 kW (500 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Mercedes-Benz,AMG GT R Coupe*Performance Exhaust*Heated Seats,,05/2019,"Couleur extérieure: Vert, Nombre de portes: 2/3",430 kW (585 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Aston,Martin V12 Vantage Roadster 22/101 - Carbon - B&O,,07/2013,"Couleur extérieure: Rouge, Nombre de portes: 2/3",380 kW (517 Ch DIN),"Cabriolet / Roadster, Essence",,
Lamborghini,Gallardo LP570-4 Spyder Performante Ed.Tecnica,,10/2013,"Couleur extérieure: Noir, Nombre de portes: 2/3",419 kW (570 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Aston,Martin V8 Vantage F1 Edition *VAT *carbone,,03/2022,"Couleur extérieure: Vert, Nombre de portes: 2/3",393 kW (534 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Aston,Martin V8 VOLANTE,,06/1986,"Couleur extérieure: Blanc, Nombre de portes: 2/3",,"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,"992 Targa 4 GTS - PDK, Quartz Grey, first hand",,02/2022,"Couleur extérieure: Gris, Nombre de portes: 2/3",353 kW (480 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
BMW,M5 G90/G99 TOURING G99 PHEV 727 ch BVA8 .,,12/2024,"Couleur extérieure: Bleu, Nombre de portes: 4/5",430 kW (585 Ch DIN),"Break, Autre, Boîte automatique",,
Porsche,911 Speedster 3.2L Turbo Look,,04/1990,"Couleur extérieure: Noir, Nombre de portes: 2/3",160 kW (218 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
McLaren,GT,,12/2022,"Couleur extérieure: Bleu, Nombre de portes: 2/3",456 kW (620 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,Cayenne S E-Hybride *NEW*360*HUD*Bose,,50 km,"Couleur extérieure: Noir, Nombre de portes: 4/5",382 kW (519 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité)",,
Aston,Martin AMR V12 S Vantage,,01/2018,"Couleur extérieure: Gris, Nombre de portes: 2/3",444 kW (604 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,A 1600 reutter,,07/1958,"Couleur extérieure: Beige, Nombre de portes: 2/3",67 kW (91 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Mercedes-Benz,"G 63 AMG - Platinum Magno, 22 700 kms",,02/2021,"Couleur extérieure: Gris, Nombre de portes: 4/5",430 kW (585 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Ferrari,458 Italia *Lift/Carbon/PPF*,,02/2013,"Couleur extérieure: Blanc, Nombre de portes: 2/3",416 kW (566 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,GTC4Lusso V8 T - Carbon - Shields - Heat/Vent,,05/2018,"Couleur extérieure: Noir, Nombre de portes: 2/3",449 kW (610 Ch DIN),"Berline, Essence, Boîte automatique",,
Porsche,992 GT3 4.0 510 PDK Pack CLUBSPORT,,09/2021,"Couleur extérieure: Noir, Nombre de portes: 2/3",375 kW (510 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Audi,RS6 RS6 4.0 TFSI tiptronic quattro ABT R 1-125,,10/2020,"Couleur extérieure: Noir, Nombre de portes: 4/5",441 kW (600 Ch DIN),"Break, Essence, Boîte automatique",,
Aston,Martin V12 VANTAGE AMR  *1 of 100*,,12/2017,"Couleur extérieure: Gris, Nombre de portes: 2/3",444 kW (604 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,GTC4 LUSSO T V8 610*Panoramic*Carbon Led*Lift,,12/2017,"Couleur extérieure: Gris, Nombre de portes: 2/3",449 kW (610 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Mercedes-Benz,G 500 4X4² *BRABUS 550 PS*Brabus Sports Exhaus,,08/2016,"Couleur extérieure: Noir, Nombre de portes: 4/5",404 kW (549 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Porsche,911 Targa 4S,,03/2021,"Couleur extérieure: Gris, Nombre de portes: 2/3",331 kW (450 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ferrari,GTC4 Lusso T V8 3.9 610CH,,08/2018,"Couleur extérieure: Noir, Nombre de portes: 2/3",493 kW (670 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,488 CHALLENGE 4.0 V8 670CH EVO,,12/2018,Nombre de portes: 2/3,493 kW (670 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Mercedes-Benz,"S 63 AMG E Performance L - PPF, many options",,02/2024,"Couleur extérieure: Noir, Nombre de portes: 4/5",590 kW (802 Ch DIN),"Berline, Hybride (essence/électricité), Boîte automatique",,
McLaren,600LT - MSO Clubsport Pro - Harness - Carbon,,02/2019,"Couleur extérieure: Bleu, Nombre de portes: 2/3",,"Coupé Sport, Essence, Boîte automatique",,
Mercedes-Benz,G 63 AMG - Manufaktur - Carbon - Burmester,,12/2021,"Couleur extérieure: Gris, Nombre de portes: 4/5",430 kW (585 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Rolls-Royce,Wraith -,,03/2014,"Couleur extérieure: Gris, Nombre de portes: 2/3",465 kW (632 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,"991 GT3 RS - 7 900 kms, Porsche Approved",,10/2015,"Couleur extérieure: Blanc, Nombre de portes: 2/3",368 kW (500 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Audi,RS6-R ABT V8 4.0 740CH - 125 exemplaires,,03/2021,"Couleur extérieure: Noir, Nombre de portes: 4/5",544 kW (740 Ch DIN),"Break, Essence, Boîte automatique",,
Ferrari,Portofino GT*Carbon*Carbon+LED*Carplay,,07/2018,"Couleur extérieure: Gris, Nombre de portes: 2/3",441 kW (600 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Bentley,Continental GT W12,,05/2019,Couleur extérieure: Noir,467 kW (635 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,458 Italia,,05/2012,"Couleur extérieure: Rouge, Nombre de portes: 2/3",306 kW (416 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
McLaren,570S Spider - Lift - Carbon - B&W - Memory Seats,,01/2018,"Couleur extérieure: Noir, Nombre de portes: 2/3",419 kW (570 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,718 GT4 RS Weissach * SHARK BLU* PPF,,02/2023,"Couleur extérieure: Bleu, Nombre de portes: 2/3",368 kW (500 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Bentley,Continental GT V8 - B&O - Touring Spec - HUD,,02/2020,"Couleur extérieure: Noir, Nombre de portes: 2/3",405 kW (551 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,488 GTB 4.0 V8 670CH,,04/2019,"Couleur extérieure: Argenté, Nombre de portes: 2/3",493 kW (670 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Lamborghini,URUS 650 HP,,01/2019,"Couleur extérieure: Noir, Nombre de portes: 4/5",478 kW (650 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Porsche,718 Cayman GT4 RS 4.0i 500 ch PDK .,,09/2023,Nombre de portes: 2/3,368 kW (500 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,"991 GT3 Touring - Chalk, 8 200 kms, many options",,05/2018,"Couleur extérieure: Gris, Nombre de portes: 2/3",368 kW (500 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Porsche,992 Targa 4 GTS*Lift*PDLS+*360*BOSE*Rear Steer,,11/2021,"Couleur extérieure: Bleu, Nombre de portes: 2/3",353 kW (480 Ch DIN),"Cabriolet / Roadster, Essence",,
Ferrari,GTC4Lusso T - Full Carbon - Passenger - Lift,,08/2018,"Couleur extérieure: Bleu, Nombre de portes: 2/3",449 kW (610 Ch DIN),"Berline, Essence, Boîte automatique",,
Bentley,Continental GTC W12 - Rotating Display - Touring,,08/2019,"Couleur extérieure: Bleu, Nombre de portes: 2/3",467 kW (635 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
McLaren,GT *Lift *Cam *Luxe,,09/2019,Couleur extérieure: Bleu,456 kW (620 Ch DIN),"Coupé Sport, Essence",,
Ferrari,"488 GTB Coupé - Grigio Silverstone, 21 300 kms",,05/2018,"Couleur extérieure: Gris, Nombre de portes: 2/3",492 kW (669 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,F12 berlinetta - rosso berlinetta,,10/2012,"Couleur extérieure: Rouge, Nombre de portes: 2/3",544 kW (740 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,718 Spyder RS - PTS - Weissach -  Carbon,,05/2024,"Couleur extérieure: Bleu, Nombre de portes: 2/3",309 kW (420 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Mercedes-Benz,"G63 AMG 2024 - G Manufaktur, 2 400 kms, 1st hand",,06/2024,"Couleur extérieure: Beige, Nombre de portes: 4/5",430 kW (585 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Porsche,"991 GT3 Touring - GT Silver, 6 500 kms, 1st hand",,06/2018,"Couleur extérieure: Argenté, Nombre de portes: 2/3",368 kW (500 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Porsche,356 Roadster B,,01/1961,Nombre de portes: 2/3,,"Cabriolet / Roadster, Essence",,
Porsche,992 Targa 4 GTS*Lift*PDLS+*BOSE Surround*360 Cam,,11/2021,"Couleur extérieure: Argenté, Nombre de portes: 2/3",353 kW (480 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,911 TYPE 992 GT3 4.0I 510 PDK .,,07/2021,"Couleur extérieure: Argenté, Nombre de portes: 2/3",375 kW (510 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,458 Italia *Low mileage*,,05/2011,"Couleur extérieure: Noir, Nombre de portes: 2/3",419 kW (570 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,PORTOFINO GT*Carbon LED*Interior Carbon,,06/2018,"Couleur extérieure: Rouge, Nombre de portes: 2/3",441 kW (600 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ferrari,488 GTB - Full Carbon - Lift - Camera - Goldrake,,01/2016,"Couleur extérieure: Gris, Nombre de portes: 2/3",492 kW (669 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,992 GT3 PDK - Lift - Chrono - 18ways - Bose,,12/2021,"Couleur extérieure: Gris, Nombre de portes: 2/3",375 kW (510 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Lamborghini,HURACAN LP610-4*Lift*Camera*Service up to date,,02/2016,"Couleur extérieure: Gris, Nombre de portes: 2/3",449 kW (610 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Mercedes-Benz,"SLS AMG Roadster - low mileage, great spec, Xpel",,04/2012,"Couleur extérieure: Noir, Nombre de portes: 2/3",420 kW (571 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
McLaren,600LT,,01/2019,Couleur extérieure: Gris,,"Coupé Sport, Essence",,
Land,Rover Range Rover Sport SV Edition Two,,,Nombre de portes: 4/5,467 kW (635 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Rolls-Royce,WRAITH V12 6.5 FaceLift 1er Main,,01/2017,"Couleur extérieure: Argenté, Nombre de portes: 2/3",465 kW (632 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Bentley,Bentayga 4.0 V8 S,,01/2025,"Couleur extérieure: Gris, Nombre de portes: 4/5",405 kW (551 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Ferrari,"458 Italia Spider "" Ferrari Power 07/2025""",,04/2012,"Couleur extérieure: Rouge, Nombre de portes: 2/3",419 kW (570 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ferrari,488 Spider - Carbon - Shields - Forged Wheels,,11/2016,"Couleur extérieure: Rouge, Nombre de portes: 2/3",492 kW (669 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
BMW,"Z8 4.9 *First Hand, First Paint*",,06/2000,"Couleur extérieure: Argenté, Nombre de portes: 2/3",294 kW (400 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Ferrari,458 Italia,,09/2011,"Couleur extérieure: Bleu, Nombre de portes: 2/3",416 kW (566 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,356 Convertible D,,01/1959,"Couleur extérieure: Rouge, Nombre de portes: 2/3",,"Cabriolet / Roadster, Essence, Boîte manuelle",,
Land,Rover Defender 4.4 P635 110 OCTA Edition One,,,"Couleur extérieure: Vert, Nombre de portes: 4/5",467 kW (635 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Maserati,MC20 V6 630 CH .,,03/2022,"Couleur extérieure: Noir, Nombre de portes: 2/3",463 kW (630 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,Portofino 4.0 V8 600 CH,,09/2020,"Couleur extérieure: Noir, Nombre de portes: 2/3",441 kW (600 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ferrari,ROMA V8 4.0 620CH .,,12/2020,"Couleur extérieure: Bleu, Nombre de portes: 2/3",456 kW (620 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Aston,Martin DBS -Superleggera,,10/2018,"Couleur extérieure: Noir, Nombre de portes: 2/3",533 kW (725 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,964 RS - Guards Red - Recaro - Fully Original,,05/1992,"Couleur extérieure: Rouge, Nombre de portes: 2/3",191 kW (260 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Ferrari,365 GT 2+2 *Original configuration*,,01/1969,"Couleur extérieure: Brun, Nombre de portes: 2/3",235 kW (320 Ch DIN),"Berline, Essence, Boîte manuelle",,
Porsche,718 GT4 RS Clubsport *PACK WEISSACH,,02/2023,"Couleur extérieure: Jaune, Nombre de portes: 2/3",368 kW (500 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
