Marque,Modèle,Année,Boîte,KM,Énergie,Code Postal,Département,Prix
Volkswagen,cc,01-2014,Boîte manuelle,133840,b,88130,88,10960
Peugeot,508,02-2020,Boîte automatique,85746,d,75002,75,16490
Skoda,kodiaq,06-2022,Boîte automatique,320000,d,93800,93,19990
Bmw,m3,01-2018,Boîte automatique,68500,b,35310,35,64900
Nissan,qashqai,04-2019,Boîte manuelle,43500,d,60230,60,17999
Ford,mustang,06-2019,Boîte automatique,11500,b,75016,75,56900
Nissan,juke,02-2016,Boîte manuelle,86574,b,75002,75,8900
Bmw,118,12-2017,Boîte automatique,65878,b,72650,72,17456
Renault,zoe,03-2019,Boîte automatique,73572,e,68000,68,6499
Volkswagen,golf,04-2016,Boîte manuelle,145500,d,57175,57,12990
Suzuki,ignis,09-2018,Boîte manuelle,13725,b,91290,91,10950
Renault,megane,10-2008,Boîte manuelle,175000,d,59119,59,4700
Fiat,tipo,10-2017,Boîte automatique,167300,d,45770,45,8480
Citroen,traction,10-2009,Boîte manuelle,140194,b,13710,13,2600
Jeep,wrangler,10-1990,Boîte manuelle,95000,b,45770,45,19900
Chevrolet,captiva,09-2012,Semi-automatique,135000,d,57175,57,10999
Renault,espace,12-2015,Boîte automatique,120200,b,06800,06,13900
Audi,q2,05-2017,Boîte manuelle,138356,d,92130,92,15790
Infiniti,qx70,07-2015,Boîte automatique,29000,d,83340,83,28990
Peugeot,308,10-2020,Boîte automatique,48450,b,10150,10,13900
Renault,megane,02-2007,Boîte manuelle,229000,d,72470,72,3450
Volkswagen,golf plus,08-2013,Boîte manuelle,71344,b,28630,28,6990
Seat,ateca,01-2017,Boîte manuelle,151000,d,21850,21,13790
Peugeot,2008,11-2015,Boîte manuelle,95746,b,08200,08,8499
Citroen,c4 picasso,05-2016,Boîte manuelle,150048,d,75002,75,7990
Peugeot,5008,05-2018,Boîte automatique,174500,d,13700,13,13990
Volkswagen,golf,09-2019,Boîte automatique,90921,d,75002,75,15990
Mercedes-benz,e 220,03-2017,Boîte automatique,119252,d,72650,72,28990
Land rover,range rover evoque,12-2012,Boîte automatique,125000,d,74130,74,15500
Bmw,118,02-2020,Boîte automatique,37000,d,66000,66,25490
Porsche,cayenne,09-2011,Boîte automatique,213000,d,06110,06,16980
Dacia,duster,11-2012,Boîte manuelle,189800,d,67118,67,6990
Opel,crossland x,02-2019,Boîte automatique,81300,b,81380,81,10980
Audi,a3,11-2016,Boîte manuelle,110000,d,63300,63,16990
Volkswagen,tiguan,10-2008,Boîte manuelle,171700,d,38240,38,8390
Renault,clio,09-2020,Boîte manuelle,85360,d,28630,28,8990
Fiat,seicento,07-2001,Boîte manuelle,95070,b,83700,83,4990
Honda,civic,09-2008,Boîte manuelle,152500,b,38660,38,12990
Jaguar,f-type,05-2014,Boîte automatique,75000,b,93120,93,37900
Opel,corsa,01-2023,Boîte manuelle,44000,b,59110,59,11990
Volvo,s90,03-2017,Boîte automatique,152000,d,68000,68,20990
Hyundai,tucson,07-2022,Boîte automatique,113000,2,78310,78,22990
Audi,a5,07-2017,Boîte automatique,50735,d,72650,72,27295
Mazda,mx-5,11-2002,Boîte manuelle,74240,b,59250,59,13780
Toyota,rav 4,09-2016,Boîte automatique,105018,2,69008,69,17450
Renault,scenic,01-2011,Boîte manuelle,92850,b,57200,57,5490
Volkswagen,polo,02-2016,Boîte manuelle,124213,d,92800,92,10490
Renault,clio,03-2023,Boîte manuelle,12500,b,13009,13,12990
Toyota,rav 4,09-2016,Boîte automatique,105018,2,69008,69,17450
Renault,scenic,01-2011,Boîte manuelle,92850,b,57200,57,5490
Volkswagen,polo,02-2016,Boîte manuelle,124213,d,92800,92,10490
Renault,clio,03-2023,Boîte manuelle,12500,b,13009,13,12990
Land rover,freelander,12-2011,Boîte automatique,81349,d,38100,38,14990
Bmw,x1,12-2017,Boîte manuelle,83255,d,72650,72,18490
Maserati,quattroporte,12-2006,Boîte automatique,51900,b,57600,57,19980
Peugeot,308,03-2019,Boîte automatique,112000,d,51420,51,16990
Mini,cooper countryman,05-2012,Boîte manuelle,56500,b,06700,06,13000
Volkswagen,tiguan,09-2023,Boîte automatique,46000,b,94500,94,25900
Audi,q3,04-2021,Semi-automatique,77500,d,06000,06,36980
Citroen,c6,07-2006,Boîte automatique,177000,b,68310,68,8999
Bmw,m3,05-2010,Boîte manuelle,107000,b,92400,92,54000
Renault,rapid,02-2018,Boîte automatique,66036,e,93220,93,5990
Renault,trafic,08-2011,Boîte manuelle,69000,d,57270,57,15999
Toyota,rav 4,04-2010,Boîte manuelle,202000,d,42700,42,6990
Fiat,500l,09-2019,Boîte manuelle,58168,b,75002,75,9500
Ford,ecosport,04-2018,Boîte manuelle,103400,d,06670,06,9990
Tesla,model x,09-2018,Boîte automatique,142000,e,13008,13,31900
Volkswagen,tiguan,09-2023,Boîte automatique,45000,b,94500,94,25900
Seat,toledo,01-2014,Boîte manuelle,161189,d,75002,75,6190
Citroen,c3 aircross,06-2020,Boîte manuelle,66900,b,93220,93,9890
Skoda,fabia,11-2018,Boîte manuelle,47000,b,30132,30,10490
Renault,kadjar,02-2018,Boîte automatique,74500,d,03110,03,15490
Bmw,420,03-2017,Boîte automatique,147407,d,59910,59,19990
Peugeot,3008,02-2017,Boîte manuelle,104058,b,92130,92,11990
Volkswagen,polo,06-2011,Boîte automatique,132307,b,59930,59,8990
Mercedes-benz,e 220,07-2011,Boîte automatique,137800,d,93370,93,11990
Opel,corsa,06-2017,Boîte manuelle,90760,b,88130,88,6990
Kia,stonic,09-2022,Boîte manuelle,20000,b,13127,13,15990
Nissan,qashqai,08-2014,Boîte manuelle,136304,b,92130,92,9590
Renault,kangoo,08-2011,Boîte manuelle,218200,d,54425,54,4990
Peugeot,3008,02-2016,Boîte manuelle,162253,d,72650,72,12490
Mitsubishi,asx,10-2013,Boîte manuelle,18916,b,28630,28,11390
